"","method","auc","overall_TNR","FPR_min","FPR_maj","FPR_diff","FNR_min","FNR_maj","FNR_diff","min_den_rate"
"1","svm_train",0.708659,58.0673938607518,21.654501216545,9.97893628225382,11.6755649342912,60.7142857142857,64.960846270092,-4.24656055580633,32.9236172080773
"2","svm_fair_train",0.7051036,57.7592149547869,21.7761557177616,10.47261716693,11.3035385508316,62.2252747252747,65.3317763429042,-3.10650161762952,32.0017559262511
"3","svm_fair_train2",0.7047932,57.7632699403917,21.654501216545,10.47261716693,11.1818840496151,62.2252747252747,65.3249072674818,-3.09963254220708,31.9578577699737
"4","svm_test",0.7097323,85.7198317696538,27.6923076923077,17.0980392156863,10.5942684766214,52.7173913043478,55.546357615894,-2.82896631154621,33.9721254355401
"5","svm_fair_test",0.7054962,85.4027822711097,25.5128205128205,17.5294117647059,7.98340874811463,57.0652173913043,56.4569536423841,0.608263748920235,31.0975609756098
"6","svm_fair_test2",0.7050149,85.4027822711097,25.5128205128205,17.5294117647059,7.98340874811463,57.0652173913043,56.4569536423841,0.608263748920235,31.0975609756098
"7","svm_fair_test 1.25",0.7049266,85.4027822711097,25.5128205128205,17.5294117647059,7.98340874811463,57.0652173913043,56.4569536423841,0.608263748920235,31.0975609756098
"8","svm_fair_test2 1.25",0.7053048,85.3833710773213,25.2564102564103,17.562091503268,7.69431875314228,57.0652173913043,56.5397350993378,0.525482291966595,30.9233449477352
"9","svm_fair_test 2",0.7049381,85.3898414752507,25.5128205128205,17.5424836601307,7.97033685268979,57.0652173913043,56.5121412803532,0.553076110951145,31.0975609756098
"10","svm_fair_test2 2",0.7053503,85.3963118731802,25.2564102564103,17.5490196078431,7.70739064856712,57.3369565217391,56.4569536423841,0.880002879355024,30.8362369337979
"11","svm_fair_train 1.25",0.7052012,57.7754348972061,21.7761557177616,10.4462875197472,11.3298681980143,62.1565934065934,65.3111691166369,-3.15457571004349,32.0456540825285
"12","svm_fair_train2 1.25",0.7051439,57.7673249259965,21.7761557177616,10.4594523433386,11.316703374423,62.1565934065934,65.3249072674818,-3.16831386088839,32.0456540825285
"13","svm_fair_train 2",0.7048812,57.7713799116013,21.5328467153285,10.4660347551343,11.0668119601942,62.1565934065934,65.3180381920593,-3.16144478546594,31.9578577699737
"14","svm_fair_train2 2",0.7049821,57.7713799116013,21.7761557177616,10.4528699315429,11.3232857862186,62.2252747252747,65.3111691166369,-3.08589439136218,32.0017559262511
"15","svm_racist_train",0.7101079,58.184988443291,37.956204379562,8.90600315955766,29.0502012200044,41.2087912087912,66.7124605028163,-25.5036692940251,51.2730465320457
"16","svm_racist_test",0.7135837,85.9851180847622,84.8717948717949,13.9150326797386,70.9567621920563,7.33695652173913,59.023178807947,-51.6862222862079,87.3693379790941
"17","svm_racist_train_all_white",0.7094891,58.0471189327278,21.4111922141119,10.0250131648236,11.3861790492883,61.0576923076923,64.960846270092,-3.90315396239973,32.6163301141352
"18","svm_racist_test_all_white",0.7099688,85.8168877385959,29.1025641025641,16.9281045751634,12.1744595274007,51.0869565217391,55.2980132450331,-4.21105672329398,35.4529616724739
"19","svm_fair_train 5",0.7049456,57.7592149547869,21.7761557177616,10.47261716693,11.3035385508316,62.2252747252747,65.3317763429042,-3.10650161762952,32.0017559262511
"20","svm_fair_test 5",0.7051721,85.4027822711097,25.5128205128205,17.5294117647059,7.98340874811463,57.0652173913043,56.4569536423841,0.608263748920235,31.0975609756098
"21","svm_fair_train2 5",0.7054314,57.7673249259965,21.7761557177616,10.4594523433386,11.316703374423,62.1565934065934,65.3249072674818,-3.16831386088839,32.0456540825285
"22","svm_fair_test2 5",0.7053868,85.3963118731802,25.2564102564103,17.5490196078431,7.70739064856712,57.3369565217391,56.4569536423841,0.880002879355024,30.8362369337979
